Classifier equal 0,Classifier equal 1,Tie breaker,Accuracy within 1%,Accuracy within 10%,MAE,MSE,RMSE,R2,Test mean,Pred mean,Mean difference,Full miss,Predictions at edge,Truth at edge,At edge difference,Prediction time,Training time,Total time
gb,gb,svc,0.8928704740574841,0.8947368421052632,0.09601089639696088,0.0914118933300986,0.30234399833649517,-0.12790979322247686,0.09019843920673186,0.03311192271675252,0.05708651648997934,0.07913400522583053,0.9817095931317655,0.9888017917133258,0.007092198581560294,0.06208992004394531,6517.892930030823,6517.955019950867
gb,gb,rf,0.8928704740574841,0.8947368421052632,0.09603128519817515,0.09143228213131287,0.3023777143430264,-0.12816136583216564,0.09019843920673186,0.034605017154975735,0.055593422051756124,0.07913400522583053,0.9817095931317655,0.9888017917133258,0.007092198581560294,0.07231998443603516,4984.85378909111,4984.926109075546
gb,gb,gb,0.8921239268383725,0.8939902948861516,0.09677783241728675,0.09217882935042447,0.30360966610176376,-0.13737283590311478,0.09019843920673186,0.03609811159319895,0.05410032761353291,0.07988055244494215,0.9817095931317655,0.9888017917133258,0.007092198581560294,0.06817317008972168,5997.49715924263,5997.56533241272
gb,gb,lr,0.8921239268383725,0.8939902948861516,0.09677783241728675,0.09217882935042447,0.30360966610176376,-0.13737283590311478,0.09019843920673186,0.03609811159319895,0.05410032761353291,0.07988055244494215,0.9817095931317655,0.9888017917133258,0.007092198581560294,0.05303025245666504,4705.612726211548,4705.6657564640045
gb,lr,gb,0.8921239268383725,0.8939902948861516,0.09556575664752424,0.09035388038409152,0.30058922200253874,-0.11485522100343037,0.09019843920673186,0.03479023761425296,0.055408201592478896,0.0768943635684957,0.9787234042553191,0.9888017917133258,0.01007838745800671,0.039494991302490234,4682.349638938904,4682.389133930206
gb,gb,knn,0.8917506532288167,0.8939902948861516,0.0967907590683886,0.09219175600152632,0.30363095362878656,-0.13753233480243954,0.09019843920673186,0.033858469935864124,0.056339969270867735,0.08025382605449795,0.9817095931317655,0.9888017917133258,0.007092198581560294,0.05490422248840332,4436.822711229324,4436.877615451813
gb,dt,svc,0.8917506532288167,0.8939902948861516,0.0960829046117242,0.09108004539259706,0.301794707363461,-0.12381519978465105,0.09019843920673186,0.03673347112144006,0.053464968085291796,0.07801418439716312,0.9798432250839866,0.9888017917133258,0.008958566629339249,0.22443795204162598,4488.620481967926,4488.844919919968
gb,rf,lr,0.8913773796192609,0.89324374766704,0.09755865128198532,0.09313988540621376,0.3051882786186484,-0.14923107992007334,0.09019843920673186,0.03411160614685025,0.05608683305988161,0.08137364688316535,0.9824561403508771,0.9888017917133258,0.00634565136244869,0.07166695594787598,3663.932988166809,3664.004655122757
gb,knn,gb,0.8913773796192609,0.89324374766704,0.09796039492559129,0.0938858134504417,0.30640792001911715,-0.15843491013815902,0.09019843920673186,0.03577267951066362,0.05442575969606824,0.08286674132138858,0.9839492347891005,0.9888017917133258,0.004852556924225371,0.6357100009918213,4390.235619068146,4390.871329069138
gb,rf,gb,0.8913773796192609,0.89324374766704,0.09755865128198532,0.09313988540621376,0.3051882786186484,-0.14923107992007334,0.09019843920673186,0.03411160614685025,0.05608683305988161,0.08137364688316535,0.9824561403508771,0.9888017917133258,0.00634565136244869,0.09019684791564941,4955.817421197891,4955.907618045807
gb,gb,dt,0.8913773796192609,0.89324374766704,0.0975039908351841,0.09290498776832182,0.3048031951412613,-0.1463327333643749,0.09019843920673186,0.034605017154975735,0.055593422051756124,0.08062709966405375,0.9817095931317655,0.9888017917133258,0.007092198581560294,0.0572049617767334,4020.7088811397552,4020.766086101532
gb,rf,svc,0.8910041060097051,0.8928704740574841,0.09793192489154112,0.09351315901576956,0.30579921356303313,-0.1538368149555478,0.09019843920673186,0.03448487975640606,0.0557135594503258,0.08174692049272117,0.9824561403508771,0.9888017917133258,0.00634565136244869,0.08476018905639648,5476.213191986084,5476.29795217514
gb,gb,ada,0.8910041060097051,0.8928704740574841,0.09789765324595417,0.09329865017909189,0.3054482774204037,-0.15119004100953815,0.09019843920673186,0.03647138520275476,0.0537270540039771,0.08100037327360955,0.9817095931317655,0.9888017917133258,0.007092198581560294,0.07640409469604492,4490.175894021988,4490.252298116684
gb,lr,rf,0.8906308324001493,0.8924972004479284,0.09705885108574747,0.09184697482231474,0.303062658244652,-0.13327816114532864,0.09019843920673186,0.03479023761425296,0.055408201592478896,0.07838745800671892,0.9787234042553191,0.9888017917133258,0.01007838745800671,0.04202914237976074,3669.706268787384,3669.748297929764
gb,dt,gb,0.8902575587905935,0.8924972004479284,0.09759638785116166,0.09259352863203456,0.30429184779095636,-0.14248971253623788,0.09019843920673186,0.03673347112144006,0.053464968085291796,0.07950727883538634,0.9798432250839866,0.9888017917133258,0.008958566629339249,0.040936946868896484,3968.2247111797333,3968.265648126602
gb,dt,lr,0.8902575587905935,0.8924972004479284,0.09735865787411097,0.09235579865498386,0.30390096849958187,-0.1395564184156386,0.09019843920673186,0.04233257526477713,0.04786586394195473,0.07950727883538634,0.9798432250839866,0.9888017917133258,0.008958566629339249,0.03769803047180176,2676.340278148651,2676.377976179123
gb,lr,ada,0.8902575587905935,0.8928704740574841,0.09653201015503542,0.0913201338916027,0.30219221348605707,-0.12677759515141873,0.09019843920673186,0.04972118199648514,0.04047725721024672,0.07876073161627473,0.9787234042553191,0.9888017917133258,0.01007838745800671,0.049386024475097656,3175.0283737182617,3175.077759742737
